field,label,text
VendorID,identifier,VendorID: identifier for the technology provider that supplied the trip record.
VendorID,identifier,Field VendorID records identifier for the technology provider that supplied the trip record.
VendorID,identifier,Metadata element VendorID; meaning: identifier for the technology provider that supplied the trip record.
VendorID,identifier,identifier for the technology provider that supplied the trip record; source field is VendorID.
VendorID,identifier,Column VendorID represents identifier for the technology provider that supplied the trip record.
VendorID,identifier,VendorID is used for identifier for the technology provider that supplied the trip record.
VendorID,identifier,Business definition for VendorID: identifier for the technology provider that supplied the trip record.
VendorID,identifier,Schema attribute VendorID captures identifier for the technology provider that supplied the trip record.
VendorID,identifier,Data dictionary entry VendorID: identifier for the technology provider that supplied the trip record.
VendorID,identifier,VendorID — identifier for the technology provider that supplied the trip record.
VendorID,identifier,"In the trip record, VendorID means identifier for the technology provider that supplied the trip record."
VendorID,identifier,Technical field VendorID contains identifier for the technology provider that supplied the trip record.
tpep_pickup_datetime,temporal,tpep_pickup_datetime: date and time when the taximeter was engaged for pickup.
tpep_pickup_datetime,temporal,Field tpep_pickup_datetime records date and time when the taximeter was engaged for pickup.
tpep_pickup_datetime,temporal,Metadata element tpep_pickup_datetime; meaning: date and time when the taximeter was engaged for pickup.
tpep_pickup_datetime,temporal,date and time when the taximeter was engaged for pickup; source field is tpep_pickup_datetime.
tpep_pickup_datetime,temporal,Column tpep_pickup_datetime represents date and time when the taximeter was engaged for pickup.
tpep_pickup_datetime,temporal,tpep_pickup_datetime is used for date and time when the taximeter was engaged for pickup.
tpep_pickup_datetime,temporal,Business definition for tpep_pickup_datetime: date and time when the taximeter was engaged for pickup.
tpep_pickup_datetime,temporal,Schema attribute tpep_pickup_datetime captures date and time when the taximeter was engaged for pickup.
tpep_pickup_datetime,temporal,Data dictionary entry tpep_pickup_datetime: date and time when the taximeter was engaged for pickup.
tpep_pickup_datetime,temporal,tpep_pickup_datetime — date and time when the taximeter was engaged for pickup.
tpep_pickup_datetime,temporal,"In the trip record, tpep_pickup_datetime means date and time when the taximeter was engaged for pickup."
tpep_pickup_datetime,temporal,Technical field tpep_pickup_datetime contains date and time when the taximeter was engaged for pickup.
tpep_dropoff_datetime,temporal,tpep_dropoff_datetime: date and time when the taximeter was disengaged at dropoff.
tpep_dropoff_datetime,temporal,Field tpep_dropoff_datetime records date and time when the taximeter was disengaged at dropoff.
tpep_dropoff_datetime,temporal,Metadata element tpep_dropoff_datetime; meaning: date and time when the taximeter was disengaged at dropoff.
tpep_dropoff_datetime,temporal,date and time when the taximeter was disengaged at dropoff; source field is tpep_dropoff_datetime.
tpep_dropoff_datetime,temporal,Column tpep_dropoff_datetime represents date and time when the taximeter was disengaged at dropoff.
tpep_dropoff_datetime,temporal,tpep_dropoff_datetime is used for date and time when the taximeter was disengaged at dropoff.
tpep_dropoff_datetime,temporal,Business definition for tpep_dropoff_datetime: date and time when the taximeter was disengaged at dropoff.
tpep_dropoff_datetime,temporal,Schema attribute tpep_dropoff_datetime captures date and time when the taximeter was disengaged at dropoff.
tpep_dropoff_datetime,temporal,Data dictionary entry tpep_dropoff_datetime: date and time when the taximeter was disengaged at dropoff.
tpep_dropoff_datetime,temporal,tpep_dropoff_datetime — date and time when the taximeter was disengaged at dropoff.
tpep_dropoff_datetime,temporal,"In the trip record, tpep_dropoff_datetime means date and time when the taximeter was disengaged at dropoff."
tpep_dropoff_datetime,temporal,Technical field tpep_dropoff_datetime contains date and time when the taximeter was disengaged at dropoff.
passenger_count,operational,passenger_count: number of passengers in the vehicle.
passenger_count,operational,Field passenger_count records number of passengers in the vehicle.
passenger_count,operational,Metadata element passenger_count; meaning: number of passengers in the vehicle.
passenger_count,operational,number of passengers in the vehicle; source field is passenger_count.
passenger_count,operational,Column passenger_count represents number of passengers in the vehicle.
passenger_count,operational,passenger_count is used for number of passengers in the vehicle.
passenger_count,operational,Business definition for passenger_count: number of passengers in the vehicle.
passenger_count,operational,Schema attribute passenger_count captures number of passengers in the vehicle.
passenger_count,operational,Data dictionary entry passenger_count: number of passengers in the vehicle.
passenger_count,operational,passenger_count — number of passengers in the vehicle.
passenger_count,operational,"In the trip record, passenger_count means number of passengers in the vehicle."
passenger_count,operational,Technical field passenger_count contains number of passengers in the vehicle.
trip_distance,operational,trip_distance: elapsed trip distance reported by the taximeter.
trip_distance,operational,Field trip_distance records elapsed trip distance reported by the taximeter.
trip_distance,operational,Metadata element trip_distance; meaning: elapsed trip distance reported by the taximeter.
trip_distance,operational,elapsed trip distance reported by the taximeter; source field is trip_distance.
trip_distance,operational,Column trip_distance represents elapsed trip distance reported by the taximeter.
trip_distance,operational,trip_distance is used for elapsed trip distance reported by the taximeter.
trip_distance,operational,Business definition for trip_distance: elapsed trip distance reported by the taximeter.
trip_distance,operational,Schema attribute trip_distance captures elapsed trip distance reported by the taximeter.
trip_distance,operational,Data dictionary entry trip_distance: elapsed trip distance reported by the taximeter.
trip_distance,operational,trip_distance — elapsed trip distance reported by the taximeter.
trip_distance,operational,"In the trip record, trip_distance means elapsed trip distance reported by the taximeter."
trip_distance,operational,Technical field trip_distance contains elapsed trip distance reported by the taximeter.
RatecodeID,identifier,RatecodeID: rate code in effect at the end of the trip.
RatecodeID,identifier,Field RatecodeID records rate code in effect at the end of the trip.
RatecodeID,identifier,Metadata element RatecodeID; meaning: rate code in effect at the end of the trip.
RatecodeID,identifier,rate code in effect at the end of the trip; source field is RatecodeID.
RatecodeID,identifier,Column RatecodeID represents rate code in effect at the end of the trip.
RatecodeID,identifier,RatecodeID is used for rate code in effect at the end of the trip.
RatecodeID,identifier,Business definition for RatecodeID: rate code in effect at the end of the trip.
RatecodeID,identifier,Schema attribute RatecodeID captures rate code in effect at the end of the trip.
RatecodeID,identifier,Data dictionary entry RatecodeID: rate code in effect at the end of the trip.
RatecodeID,identifier,RatecodeID — rate code in effect at the end of the trip.
RatecodeID,identifier,"In the trip record, RatecodeID means rate code in effect at the end of the trip."
RatecodeID,identifier,Technical field RatecodeID contains rate code in effect at the end of the trip.
store_and_fwd_flag,operational,store_and_fwd_flag: whether the trip record was held in vehicle memory before transmission.
store_and_fwd_flag,operational,Field store_and_fwd_flag records whether the trip record was held in vehicle memory before transmission.
store_and_fwd_flag,operational,Metadata element store_and_fwd_flag; meaning: whether the trip record was held in vehicle memory before transmission.
store_and_fwd_flag,operational,whether the trip record was held in vehicle memory before transmission; source field is store_and_fwd_flag.
store_and_fwd_flag,operational,Column store_and_fwd_flag represents whether the trip record was held in vehicle memory before transmission.
store_and_fwd_flag,operational,store_and_fwd_flag is used for whether the trip record was held in vehicle memory before transmission.
store_and_fwd_flag,operational,Business definition for store_and_fwd_flag: whether the trip record was held in vehicle memory before transmission.
store_and_fwd_flag,operational,Schema attribute store_and_fwd_flag captures whether the trip record was held in vehicle memory before transmission.
store_and_fwd_flag,operational,Data dictionary entry store_and_fwd_flag: whether the trip record was held in vehicle memory before transmission.
store_and_fwd_flag,operational,store_and_fwd_flag — whether the trip record was held in vehicle memory before transmission.
